DATE,GOLDAMGBD228NLBM
2015-02-10,1237.500
2015-02-11,1235.500
2015-02-12,1225.250
2015-02-13,1225.750
2015-02-16,1233.500
2015-02-17,1221.750
2015-02-18,1206.500
2015-02-19,1217.750
2015-02-20,1203.500
2015-02-23,1193.500
2015-02-24,1195.500
2015-02-25,1206.500
2015-02-26,1220.000
2015-02-27,1205.000
2015-03-02,1216.750
2015-03-03,1207.750
2015-03-04,1204.250
2015-03-05,1199.750
2015-03-06,1196.500
2015-03-09,1173.750
2015-03-10,1161.000
2015-03-11,1158.750
2015-03-12,1161.250
2015-03-13,1156.500
2015-03-16,1157.000
2015-03-17,1154.750
2015-03-18,1149.000
2015-03-19,1164.000
2015-03-20,1171.750
2015-03-23,1181.400
2015-03-24,1193.250
2015-03-25,1192.550
2015-03-26,1209.400
2015-03-27,1198.000
2015-03-30,1187.400
2015-03-31,1179.250
2015-04-01,1181.250
2015-04-02,1201.500
2015-04-03,.
2015-04-06,.
2015-04-07,1208.500
2015-04-08,1211.100
2015-04-09,1196.000
2015-04-10,1201.900
2015-04-13,1197.850
2015-04-14,1191.450
2015-04-15,1189.850
2015-04-16,1204.600
2015-04-17,1204.550
2015-04-20,1203.250
2015-04-21,1197.700
2015-04-22,1202.400
2015-04-23,1187.750
2015-04-24,1192.150
2015-04-27,1182.750
2015-04-28,1201.400
2015-04-29,1204.800
2015-04-30,1204.300
2015-05-01,1179.000
2015-05-04,.
2015-05-05,1187.400
2015-05-06,1191.250
2015-05-07,1183.000
2015-05-08,1185.250
2015-05-11,1184.750
2015-05-12,1184.450
2015-05-13,1193.000
2015-05-14,1214.750
2015-05-15,1216.300
2015-05-18,1228.150
2015-05-19,1219.650
2015-05-20,1206.750
2015-05-21,1209.600
2015-05-22,1211.000
2015-05-25,.
2015-05-26,1194.000
2015-05-27,1187.850
2015-05-28,1189.450
2015-05-29,1190.400
2015-06-01,1187.300
2015-06-02,1188.750
2015-06-03,1186.600
2015-06-04,1182.450
2015-06-05,1175.900
2015-06-08,1173.400
2015-06-09,1181.000
2015-06-10,1186.000
2015-06-11,1180.500
2015-06-12,1179.250
2015-06-15,1178.250
2015-06-16,1182.100
2015-06-17,1178.500
2015-06-18,1198.000
2015-06-19,1198.150
2015-06-22,1193.700
2015-06-23,1183.350
2015-06-24,1175.750
2015-06-25,1174.600
2015-06-26,1174.400
2015-06-29,1176.500
2015-06-30,1175.000
2015-07-01,1171.700
2015-07-02,1164.300
2015-07-03,1168.250
2015-07-06,1164.250
2015-07-07,1166.250
2015-07-08,1154.250
2015-07-09,1162.100
2015-07-10,1162.400
2015-07-13,1154.950
2015-07-14,1153.200
2015-07-15,1154.750
2015-07-16,1145.100
2015-07-17,1143.000
2015-07-20,1115.000
2015-07-21,1108.000
2015-07-22,1096.800
2015-07-23,1101.650
2015-07-24,1083.750
2015-07-27,1098.600
2015-07-28,1095.600
2015-07-29,1096.750
2015-07-30,1085.650
2015-07-31,1080.050
2015-08-03,1093.000
2015-08-04,1092.600
2015-08-05,1086.500
2015-08-06,1085.000
2015-08-07,1091.350
2015-08-10,1094.800
2015-08-11,1113.250
2015-08-12,1116.800
2015-08-13,1117.350
2015-08-14,1116.750
2015-08-17,1117.300
2015-08-18,1119.150
2015-08-19,1123.200
2015-08-20,1137.950
2015-08-21,1149.350
2015-08-24,1153.500
2015-08-25,1154.250
2015-08-26,1134.400
2015-08-27,1128.500
2015-08-28,1125.500
2015-08-31,.
2015-09-01,1141.900
2015-09-02,1140.000
2015-09-03,1130.050
2015-09-04,1125.000
2015-09-07,1121.000
2015-09-08,1120.850
2015-09-09,1122.300
2015-09-10,1107.750
2015-09-11,1106.350
2015-09-14,1108.000
2015-09-15,1105.500
2015-09-16,1109.750
2015-09-17,1118.150
2015-09-18,1136.000
2015-09-21,1136.850
2015-09-22,1129.300
2015-09-23,1124.600
2015-09-24,1134.450
2015-09-25,1145.500
2015-09-28,1137.500
2015-09-29,1124.600
2015-09-30,1122.500
2015-10-01,1114.200
2015-10-02,1106.300
2015-10-05,1134.350
2015-10-06,1136.900
2015-10-07,1147.900
2015-10-08,1143.300
2015-10-09,1151.500
2015-10-12,1164.200
2015-10-13,1154.400
2015-10-14,1173.700
2015-10-15,1183.350
2015-10-16,1176.350
2015-10-19,1171.650
2015-10-20,1173.700
2015-10-21,1174.400
2015-10-22,1166.450
2015-10-23,1171.550
2015-10-26,1168.500
2015-10-27,1165.750
2015-10-28,1171.500
2015-10-29,1159.000
2015-10-30,1147.750
2015-11-02,1135.800
2015-11-03,1130.900
2015-11-04,1118.000
2015-11-05,1107.300
2015-11-06,1107.700
2015-11-09,1095.600
2015-11-10,1092.500
2015-11-11,1088.600
2015-11-12,1087.600
2015-11-13,1083.750
2015-11-16,1094.500
2015-11-17,1080.800
2015-11-18,1070.500
2015-11-19,1073.100
2015-11-20,1085.150
2015-11-23,1068.350
2015-11-24,1073.000
2015-11-25,1072.200
2015-11-26,1070.500
2015-11-27,1064.650
2015-11-30,1055.650
2015-12-01,1069.250
2015-12-02,1066.900
2015-12-03,1050.600
2015-12-04,1063.000
